Número Município Nome
     1 1100015   Alta Floresta D'Oeste           
  2968 3536406   Paulicéia                       
  2969 3536570   Paulistânia                     
  2970 3536604   Paulo de Faria                  
  2971 3536802   Pedra Bela                      
  2972 3536901   Pedranópolis                    
  2973 3537008   Pedregulho                      
  2974 3537156   Pedrinhas Paulista              
  2975 3537206   Pedro de Toledo                 
  2976 3537404   Pereira Barreto                 
  2977 3537503   Pereiras                        
  2978 3537701   Piacatu                         
  2979 3537909   Pilar do Sul                    
  2980 3538105   Pindorama                       
  2981 3538204   Pinhalzinho                     
  2982 3538303   Piquerobi                       
  2983 3538501   Piquete                         
  2984 3538600   Piracaia                        
  2985 3538907   Pirajuí                         
  2986 3539004   Pirangi                         
  2987 3539103   Pirapora do Bom Jesus           
  2988 3539202   Pirapozinho                     
  2989 3539400   Piratininga                     
  2990 3539608   Planalto                        
  2991 3539707   Platina                         
  2992 3539905   Poloni                          
  2993 3540002   Pompéia                         
  2994 3540101   Pongaí                          
  2995 3540259   Pontalinda                      
  2996 3540309   Pontes Gestal                   
  2997 3540408   Populina                        
  2998 3540507   Porangaba                       
  2999 3540754   Potim                           
  3000 3540804   Potirendaba                     
  3001 3540853   Pracinha                        
  3002 3540903   Pradópolis                      
  3003 3541059   Pratânia                        
  3004 3541109   Presidente Alves                
  3005 3541208   Presidente Bernardes            
  3006 3541653   Quadra                          
  3007 3541703   Quatá                           
  3008 3541802   Queiroz                         
  3009 3541901   Queluz                          
  3010 3542008   Quintana                        
  3011 3542107   Rafard                          
  3012 3542305   Redenção da Serra               
  3013 3542404   Regente Feijó                   
  3014 3542503   Reginópolis                     
  3015 3542701   Restinga                        
  3016 3542800   Ribeira                         
  3017 3542909   Ribeirão Bonito                 
  3018 3543006   Ribeirão Branco                 
  3019 3543105   Ribeirão Corrente               
  3020 3543204   Ribeirão do Sul                 
  3021 3543238   Ribeirão dos Índios             
  3022 3543253   Ribeirão Grande                 
  3023 3543501   Riversul                        
  3024 3543600   Rifaina                         
  3025 3543709   Rincão                          
  3026 3543808   Rinópolis                       
  3027 3544004   Rio das Pedras                  
  3028 3544202   Riolândia                       
  3029 3544251   Rosana                          
  3030 3544301   Roseira                         
  3031 3544400   Rubiácea                        
  3032 3544509   Rubinéia                        
  3033 3544608   Sabino                          
  3034 3544707   Sagres                          
  3035 3544806   Sales                           
  3036 3544905   Sales Oliveira                  
  3037 3545001   Salesópolis                     
  3038 3545100   Salmourão                       
  3039 3545159   Saltinho                        
  3040 3545407   Salto Grande                    
  3041 3545506   Sandovalina                     
  3042 3545605   Santa Adélia                    
  3043 3545704   Santa Albertina                 
  3044 3546009   Santa Branca                    
  3045 3546108   Santa Clara d'Oeste             
  3046 3546207   Santa Cruz da Conceição         
  3047 3546256   Santa Cruz da Esperança         
  3048 3546504   Santa Ernestina                 
  3049 3546702   Santa Gertrudes                 
  3050 3546900   Santa Lúcia                     
  3051 3547007   Santa Maria da Serra            
  3052 3547106   Santa Mercedes                  
  3053 3547205   Santana da Ponte Pensa          
  3054 3547403   Santa Rita d'Oeste              
  3055 3547502   Santa Rita do Passa Quatro      
  3056 3547601   Santa Rosa de Viterbo           
  3057 3547650   Santa Salete                    
  3058 3547700   Santo Anastácio                 
  3059 3547908   Santo Antônio da Alegria        
  3060 3548005   Santo Antônio de Posse          
  3061 3548054   Santo Antônio do Aracanguá      
  3062 3548104   Santo Antônio do Jardim         
